Year,Week,Month,Day of Week,Day Number,Hour,Team 1,Team 2,Team 1 Score,Team 2 Score,Total,Spread,Team 1 Win
2019,17,12,6,29,13,kan,sdg,31,21,52,10,True
2019,17,12,6,29,13,det,gnb,20,23,43,-3,False
2019,17,12,6,29,13,atl,tam,28,22,50,6,True
2019,17,12,6,29,13,mia,nwe,27,24,51,3,True
2019,17,12,6,29,13,chi,min,21,19,40,2,True
2019,17,12,6,29,13,cle,cin,23,33,56,-10,False
2019,17,12,6,29,13,buf,nyj,6,13,19,-7,False
2019,17,12,6,29,16,den,rai,16,15,31,1,True
2019,17,12,6,29,16,htx,oti,14,35,49,-21,False
2019,17,12,6,29,16,clt,jax,20,38,58,-18,False
2019,17,12,6,29,16,nyg,phi,17,34,51,-17,False
2019,17,12,6,29,16,dal,was,47,16,63,31,True
2019,17,12,6,29,16,pit,rav,10,28,38,-18,False
2019,17,12,6,29,16,crd,ram,24,31,55,-7,False
2019,17,12,6,29,20,sea,sfo,21,26,47,-5,False
2020,18,1,4,4,16,buf,htx,19,22,41,-3,False
2020,18,1,4,4,20,nwe,oti,13,20,33,-7,False
2020,18,1,5,5,13,min,nor,26,20,46,6,True
2020,18,1,5,5,16,phi,sea,9,17,26,-8,False
2020,19,1,4,11,16,min,sfo,10,27,37,-17,False
2020,19,1,4,11,20,oti,rav,28,12,40,16,True
2020,19,1,5,12,15,htx,kan,31,51,82,-20,False
2020,19,1,5,12,18,gnb,sea,28,23,51,5,True
2020,20,1,5,19,15,kan,oti,35,24,59,11,True
2020,20,1,5,19,18,gnb,sfo,20,37,57,-17,False
2020,21,2,5,2,18,kan,sfo,31,20,51,11,True
