Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2019,7,0,23,38,281,14.0,282,153,128,4,4,1,18,3,2,2,9.0,35,151,9.0,120,31,4,36,23,281,14.0,153,128,1,4,0,51,33,234.0,2.0,869.9000000000001,115.0,119.0,25,3,5,2.0,10,42,4,343.0
2019,8,1,34,43,373,20.0,228,131,242,1,7,0,18,6,4,0,0.0,29,137,8.0,62,75,2,43,34,373,20.0,131,242,2,1,0,32,19,220.0,0.0,653.8000000000001,133.0,87.0,13,6,0,3.0,9,37,2,285.4
2019,10,1,33,46,304,13.0,277,154,150,1,7,6,10,2,4,0,0.0,11,52,4.0,24,28,0,44,33,304,13.0,154,150,0,1,1,33,20,182.0,2.0,701.7,93.0,89.0,23,1,4,1.0,6,58,2,288.7
2019,11,0,28,35,228,14.0,157,97,131,1,3,0,14,3,2,0,0.0,28,109,7.0,58,51,0,34,28,228,14.0,97,131,1,1,4,54,34,351.0,2.0,622.2,244.0,107.0,66,6,6,2.0,15,37,2,473.5
2019,12,1,30,39,311,17.0,374,187,124,0,3,2,10,0,2,0,0.0,18,118,5.0,68,50,3,38,30,311,17.0,187,124,3,0,0,37,27,382.0,3.0,1003.4,193.0,189.0,13,8,0,4.0,12,57,5,330.8
2019,13,0,18,31,184,10.0,173,75,109,3,4,0,14,2,0,0,0.0,18,95,4.0,52,43,1,29,18,184,10.0,75,109,1,3,1,49,36,325.0,2.0,910.0000000000001,234.0,91.0,33,4,4,9.0,17,69,6,352.6
2019,14,1,29,41,349,17.0,250,154,195,2,2,0,14,1,0,1,6.0,27,116,9.0,66,50,0,41,29,349,17.0,154,195,3,2,1,33,25,344.0,4.0,956.5,170.0,174.0,25,0,2,3.0,5,51,11,204.49999999999997
2019,15,1,29,30,307,18.0,202,204,103,0,1,0,9,1,2,0,0.0,33,117,7.0,54,63,2,30,29,307,18.0,204,103,1,0,0,31,18,165.0,0.0,686.5,99.0,66.0,19,5,6,1.0,13,41,6,320.9
2019,16,0,28,40,299,16.0,283,148,151,1,5,3,9,2,0,0,0.0,23,102,5.0,85,17,1,39,28,299,16.0,148,151,1,1,0,25,17,272.0,3.0,921.3000000000001,140.0,132.0,20,4,1,5.0,10,46,7,223.8
2019,17,0,20,31,267,16.0,207,92,175,2,2,1,9,4,1,0,0.0,35,115,6.0,49,66,4,29,20,267,16.0,92,175,2,2,2,54,28,285.0,0.0,647.2,134.0,151.0,27,6,1,2.0,9,47,7,427.70000000000005
2019,18,1,27,34,258,12.0,250,171,87,0,3,3,10,2,2,1,5.0,17,97,6.0,19,78,2,33,27,258,12.0,171,87,3,0,0,32,20,247.0,1.0,746.5,156.0,91.0,19,2,1,3.0,7,70,10,264.8
