Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2019,7,0,24,38,329,19.0,426,213,116,1,7,1,10,2,4,0,0.0,21,39,2.0,2,37,3,37,24,329,19.0,213,116,2,1,1,29,24,323.0,2.0,1008.2,176.0,147.0,11,4,3,2.0,9,61,6,196.9
2019,8,0,19,29,201,8.0,259,147,54,4,2,1,4,0,5,0,0.0,12,36,2.0,25,11,0,29,19,201,8.0,147,54,0,4,1,34,23,253.0,0.0,754.6000000000001,165.0,88.0,4,2,1,3.0,6,60,7,275.19999999999993
2019,9,1,21,28,294,13.0,238,151,143,1,4,2,6,3,2,1,1.0,38,159,11.0,88,71,2,26,21,294,13.0,151,143,1,1,0,41,31,221.0,1.0,859.9000000000001,107.0,114.0,1,6,1,3.0,11,37,6,302.29999999999995
2019,10,0,17,31,207,11.0,397,142,65,0,9,5,4,0,2,0,0.0,30,146,10.0,58,88,4,31,17,207,11.0,142,65,1,0,0,30,21,218.0,1.0,889.0,101.0,117.0,12,6,2,3.0,11,58,8,185.8
2019,11,1,28,52,353,14.0,412,163,190,5,7,2,10,7,5,0,0.0,19,93,6.0,73,20,0,48,28,353,14.0,163,190,2,5,1,31,18,168.0,1.0,599.6999999999999,92.0,76.0,2,9,4,1.0,14,45,9,259.7
2019,13,0,20,29,265,11.0,200,156,109,0,5,3,7,1,2,0,0.0,29,115,5.0,46,69,0,27,20,265,11.0,156,109,0,0,1,29,19,139.0,2.0,819.7,85.0,54.0,7,8,0,0.0,8,49,2,218.2
2019,14,0,19,27,340,11.0,256,111,229,2,3,1,4,0,6,0,0.0,30,195,13.0,91,104,2,26,19,340,11.0,111,229,1,2,0,37,26,167.0,0.0,770.8999999999999,109.0,58.0,16,8,2,2.0,12,54,5,216.9
2019,15,1,28,39,307,14.0,339,180,127,0,5,3,6,1,2,0,0.0,19,62,3.0,22,40,1,38,28,307,14.0,180,127,1,0,1,24,18,207.0,1.0,825.4,140.0,67.0,0,1,1,0.0,2,41,6,194.8
2019,16,1,27,39,279,13.0,208,103,176,3,2,1,1,1,2,0,0.0,16,19,4.0,14,5,1,37,27,279,13.0,103,176,1,3,0,30,27,311.0,1.0,958.8,142.0,169.0,3,0,3,3.0,7,57,2,152.1
2019,17,0,31,46,281,14.0,314,111,170,0,10,3,10,1,5,1,5.0,25,108,8.0,77,31,2,44,31,281,14.0,111,170,5,0,1,23,15,150.0,0.0,620.0,79.0,71.0,3,1,2,0.0,3,32,10,117.9
