Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
8.0,1.0,16.0,20.0,239.0,8.0,185.0,138.0,101.0,0.0,3.0,0.0,7.0,4.0,0.0,1.0,14.0,35.0,188.0,8.0,50.0,138.0,2.0,20.0,16.0,239.0,8.0,138.0,101.0,0.0,0.0,1.0,32.0,22.0,315.0,1.0,762.7,208.0,107.0,8.0,8.0,0.0,2.0,10.0,63.0,10.0,351.3
9.0,0.0,17.0,24.0,213.0,11.0,159.0,99.0,114.0,0.0,3.0,4.0,11.0,2.0,0.0,6.0,37.8,33.0,98.0,4.0,56.0,42.0,0.0,23.0,17.0,213.0,11.0,99.0,114.0,0.0,0.0,0.0,39.0,26.0,290.0,1.0,925.9000000000001,93.0,197.0,20.0,3.0,5.0,2.0,10.0,42.0,12.0,236.79999999999998
1.0,0.0,20.0,30.0,268.0,12.0,325.0,178.0,90.0,2.0,5.0,6.0,14.0,5.0,4.0,2.0,19.0,23.0,180.0,8.0,132.0,48.0,2.0,29.0,20.0,268.0,12.0,178.0,90.0,2.0,3.0,1.0,39.0,32.0,370.0,2.0,860.2,236.0,134.0,8.0,2.0,3.0,1.0,6.0,58.0,8.0,291.20000000000005
11.0,0.0,18.0,30.0,169.0,10.0,227.0,72.0,97.0,0.0,9.0,7.0,19.0,3.0,3.0,2.0,10.0,20.0,122.0,3.0,56.0,66.0,1.0,30.0,18.0,169.0,10.0,72.0,97.0,0.0,0.0,0.0,26.0,18.0,237.0,4.0,1037.5000000000002,95.0,142.0,13.0,1.0,1.0,0.0,2.0,50.0,15.0,215.5
12.0,1.0,19.0,30.0,298.0,11.0,423.0,235.0,63.0,0.0,7.0,1.0,8.0,4.0,3.0,0.0,0.0,24.0,99.0,5.0,57.0,42.0,0.0,28.0,19.0,298.0,11.0,235.0,63.0,1.0,0.0,0.0,24.0,16.0,129.0,0.0,625.0000000000001,41.0,88.0,8.0,0.0,3.0,1.0,4.0,62.0,7.0,178.1
13.0,1.0,19.0,26.0,240.0,12.0,195.0,123.0,117.0,0.0,3.0,3.0,18.0,3.0,0.0,1.0,2.0,23.0,52.0,2.0,17.0,35.0,1.0,26.0,19.0,240.0,12.0,123.0,117.0,2.0,0.0,1.0,44.0,25.0,290.0,3.0,878.1,198.0,92.0,39.0,6.0,0.0,3.0,10.0,53.0,5.0,482.79999999999995
14.0,1.0,28.0,50.0,292.0,16.0,434.0,132.0,160.0,3.0,9.0,3.0,13.0,7.0,3.0,6.0,43.8,22.0,134.0,9.0,95.0,39.0,1.0,47.0,28.0,292.0,16.0,132.0,160.0,4.0,3.0,1.0,26.0,21.0,281.0,3.0,1125.8,118.0,163.0,14.0,1.0,7.0,1.0,9.0,60.0,2.0,186.0
15.0,0.0,19.0,27.0,243.0,12.0,271.0,148.0,95.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,23.2,35.0,140.0,9.0,73.0,67.0,1.0,25.0,19.0,243.0,12.0,148.0,95.0,1.0,0.0,1.0,37.0,22.0,279.0,2.0,855.9,163.0,116.0,35.0,1.0,4.0,2.0,8.0,55.0,4.0,395.4
16.0,0.0,19.0,32.0,184.0,7.0,215.0,111.0,73.0,1.0,6.0,5.0,19.0,4.0,3.0,5.0,36.0,26.0,68.0,5.0,37.0,31.0,0.0,32.0,19.0,184.0,7.0,111.0,73.0,0.0,1.0,4.0,50.0,26.0,334.0,1.0,783.2,266.0,68.0,20.0,4.0,2.0,3.0,9.0,47.0,7.0,663.3
17.0,1.0,21.0,36.0,225.0,11.0,308.0,95.0,130.0,0.0,7.0,4.0,14.0,8.0,2.0,5.0,39.0,25.0,109.0,9.0,83.0,26.0,0.0,32.0,21.0,225.0,11.0,95.0,130.0,2.0,0.0,0.0,21.0,15.0,269.0,2.0,909.1,188.0,81.0,14.0,1.0,2.0,0.0,3.0,44.0,8.0,317.8
18.0,1.0,20.0,25.0,247.0,13.0,216.0,150.0,97.0,1.0,2.0,7.0,12.0,2.0,5.0,7.0,21.0,33.0,141.0,5.0,83.0,58.0,2.0,25.0,20.0,247.0,13.0,150.0,97.0,1.0,1.0,0.0,44.0,25.0,280.0,1.0,608.0,117.0,163.0,28.0,2.0,8.0,3.0,13.0,67.0,11.0,417.7
19.0,0.0,31.0,52.0,388.0,18.0,465.0,232.0,156.0,4.0,10.0,4.0,11.0,9.0,3.0,3.0,20.1,21.0,94.0,4.0,67.0,27.0,3.0,50.0,31.0,388.0,18.0,235.0,153.0,0.0,4.0,0.0,34.0,23.0,308.0,5.0,1084.1,149.0,159.0,14.0,7.0,3.0,1.0,11.0,35.0,7.0,232.40000000000003
2.0,1.0,16.0,29.0,159.0,9.0,371.0,124.0,35.0,1.0,7.0,4.0,16.0,4.0,4.0,1.0,4.0,30.0,126.0,7.0,38.0,88.0,4.0,29.0,16.0,159.0,9.0,124.0,35.0,0.0,1.0,0.0,33.0,23.0,213.0,1.0,791.1,102.0,111.0,20.0,5.0,3.0,4.0,12.0,55.0,5.0,212.5
3.0,0.0,25.0,34.0,351.0,15.0,265.0,186.0,165.0,2.0,3.0,2.0,7.0,5.0,4.0,4.0,23.2,19.0,39.0,3.0,20.0,19.0,5.0,34.0,25.0,351.0,15.0,186.0,165.0,7.0,2.0,0.0,46.0,31.0,318.0,2.0,727.9000000000001,157.0,161.0,41.0,1.0,6.0,5.0,14.0,59.0,12.0,471.3
4.0,1.0,21.0,34.0,160.0,7.0,314.0,65.0,95.0,0.0,7.0,6.0,10.0,3.0,2.0,2.0,11.0,22.0,136.0,8.0,72.0,64.0,1.0,32.0,21.0,160.0,7.0,65.0,95.0,3.0,0.0,0.0,33.0,24.0,232.0,0.0,812.5,90.0,142.0,18.0,2.0,2.0,3.0,7.0,65.0,12.0,266.5
5.0,1.0,28.0,33.0,426.0,18.0,286.0,222.0,204.0,2.0,1.0,0.0,9.0,1.0,1.0,2.0,39.0,34.0,166.0,11.0,105.0,61.0,1.0,33.0,28.0,426.0,18.0,222.0,204.0,3.0,2.0,1.0,44.0,33.0,330.0,3.0,782.7,195.0,135.0,38.0,5.0,0.0,2.0,7.0,66.0,7.0,372.3
6.0,0.0,30.0,42.0,280.0,20.0,369.0,104.0,176.0,4.0,7.0,0.0,14.0,2.0,2.0,4.0,24.0,41.0,192.0,12.0,122.0,70.0,2.0,42.0,30.0,280.0,20.0,104.0,176.0,2.0,4.0,1.0,27.0,13.0,209.0,3.0,561.9000000000001,160.0,49.0,10.0,2.0,1.0,1.0,4.0,27.0,7.0,374.2
7.0,0.0,23.0,34.0,308.0,15.0,268.0,183.0,125.0,2.0,6.0,3.0,7.0,2.0,3.0,3.0,32.099999999999994,24.0,100.0,6.0,39.0,61.0,3.0,33.0,23.0,308.0,15.0,183.0,125.0,3.0,2.0,0.0,36.0,26.0,312.0,4.0,1135.5,141.0,171.0,35.0,4.0,6.0,1.0,12.0,47.0,2.0,278.4
8.0,1.0,27.0,39.0,279.0,17.0,266.0,173.0,106.0,3.0,3.0,3.0,6.0,3.0,1.0,4.0,25.2,32.0,130.0,7.0,56.0,74.0,8.0,38.0,27.0,279.0,17.0,173.0,106.0,3.0,3.0,0.0,35.0,22.0,388.0,4.0,1126.9000000000003,117.0,271.0,4.0,3.0,0.0,0.0,3.0,48.0,9.0,293.5
9.0,0.0,22.0,28.0,201.0,11.0,181.0,110.0,91.0,1.0,3.0,1.0,8.0,2.0,6.0,3.0,18.9,34.0,216.0,8.0,139.0,77.0,3.0,28.0,22.0,201.0,11.0,110.0,91.0,0.0,1.0,2.0,41.0,24.0,271.0,0.0,863.5,153.0,118.0,25.0,6.0,2.0,4.0,12.0,46.0,5.0,361.90000000000003
