Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
8.0,1.0,24.0,41.0,286.0,10.0,257.0,143.0,143.0,4.0,6.0,4.0,13.0,2.0,2.0,6.0,34.2,17.0,70.0,5.0,57.0,13.0,1.0,41.0,24.0,286.0,10.0,143.0,143.0,1.0,4.0,1.0,30.0,20.0,286.0,3.0,819.0,120.0,166.0,7.0,7.0,2.0,4.0,13.0,53.0,5.0,241.8
1.0,1.0,27.0,33.0,350.0,13.0,219.0,200.0,150.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,6.0,16.0,81.0,3.0,31.0,50.0,1.0,33.0,27.0,350.0,13.0,205.0,145.0,0.0,1.0,0.0,33.0,24.0,378.0,3.0,1146.5,116.0,262.0,4.0,1.0,4.0,0.0,5.0,42.0,7.0,184.0
11.0,0.0,33.0,47.0,296.0,13.0,423.0,152.0,144.0,0.0,4.0,2.0,8.0,2.0,2.0,0.0,0.0,9.0,29.0,2.0,21.0,8.0,0.0,46.0,33.0,296.0,13.0,152.0,144.0,2.0,0.0,1.0,21.0,15.0,148.0,1.0,631.9,62.0,86.0,8.0,5.0,4.0,3.0,12.0,48.0,11.0,171.2
12.0,0.0,32.0,48.0,272.0,12.0,380.0,139.0,133.0,3.0,6.0,3.0,11.0,3.0,1.0,2.0,7.0,27.0,117.0,8.0,84.0,33.0,0.0,44.0,32.0,272.0,12.0,139.0,133.0,2.0,3.0,0.0,17.0,14.0,259.0,2.0,777.8000000000001,74.0,185.0,15.0,0.0,1.0,1.0,2.0,45.0,12.0,125.9
13.0,1.0,23.0,41.0,240.0,10.0,214.0,110.0,130.0,1.0,8.0,5.0,16.0,1.0,5.0,1.0,4.0,17.0,49.0,2.0,18.0,31.0,2.0,38.0,23.0,240.0,10.0,110.0,130.0,5.0,1.0,0.0,32.0,20.0,274.0,0.0,865.2,167.0,107.0,28.0,3.0,4.0,4.0,11.0,61.0,3.0,346.0
14.0,1.0,25.0,38.0,171.0,6.0,209.0,99.0,72.0,1.0,8.0,2.0,9.0,3.0,2.0,6.0,31.200000000000003,23.0,88.0,6.0,31.0,57.0,1.0,37.0,25.0,171.0,6.0,101.0,70.0,1.0,1.0,0.0,25.0,17.0,326.0,4.0,811.8000000000001,111.0,215.0,4.0,0.0,6.0,1.0,7.0,46.0,5.0,305.1
15.0,0.0,17.0,29.0,201.0,10.0,241.0,104.0,97.0,1.0,6.0,2.0,8.0,2.0,3.0,4.0,24.0,22.0,77.0,4.0,23.0,54.0,1.0,28.0,17.0,201.0,10.0,104.0,97.0,1.0,1.0,0.0,33.0,22.0,267.0,1.0,810.2,95.0,172.0,15.0,5.0,1.0,4.0,10.0,62.0,11.0,233.3
16.0,0.0,14.0,32.0,188.0,9.0,241.0,92.0,96.0,0.0,12.0,3.0,9.0,3.0,1.0,6.0,37.2,24.0,115.0,5.0,60.0,55.0,0.0,31.0,14.0,188.0,9.0,92.0,96.0,2.0,0.0,2.0,46.0,32.0,398.0,1.0,655.7,284.0,114.0,13.0,1.0,4.0,1.0,6.0,59.0,5.0,491.4
17.0,1.0,27.0,39.0,295.0,15.0,232.0,167.0,128.0,6.0,4.0,3.0,5.0,2.0,1.0,2.0,10.0,24.0,67.0,6.0,30.0,37.0,0.0,39.0,27.0,295.0,15.0,167.0,128.0,0.0,6.0,0.0,24.0,12.0,162.0,0.0,583.8000000000001,63.0,99.0,1.0,3.0,3.0,3.0,10.0,42.0,10.0,197.4
2.0,0.0,23.0,33.0,213.0,10.0,212.0,102.0,111.0,1.0,5.0,4.0,20.0,7.0,3.0,6.0,55.800000000000004,21.0,103.0,5.0,63.0,40.0,2.0,33.0,23.0,213.0,10.0,102.0,111.0,2.0,1.0,0.0,30.0,18.0,165.0,0.0,662.5000000000001,129.0,36.0,18.0,4.0,4.0,3.0,12.0,61.0,6.0,376.70000000000005
3.0,1.0,20.0,30.0,204.0,8.0,213.0,129.0,75.0,2.0,5.0,0.0,7.0,3.0,1.0,3.0,18.9,20.0,88.0,2.0,10.0,78.0,2.0,30.0,20.0,204.0,8.0,129.0,75.0,1.0,2.0,0.0,40.0,24.0,304.0,0.0,744.8,243.0,61.0,49.0,7.0,4.0,9.0,21.0,71.0,8.0,431.80000000000007
4.0,0.0,19.0,33.0,213.0,12.0,346.0,114.0,99.0,3.0,7.0,5.0,12.0,9.0,7.0,0.0,0.0,38.0,269.0,11.0,109.0,160.0,6.0,32.0,19.0,213.0,12.0,114.0,99.0,3.0,3.0,1.0,31.0,18.0,249.0,2.0,535.4,152.0,97.0,20.0,3.0,3.0,0.0,6.0,45.0,6.0,289.20000000000005
5.0,0.0,26.0,44.0,374.0,18.0,404.0,193.0,181.0,0.0,6.0,2.0,5.0,4.0,1.0,5.0,43.0,31.0,149.0,8.0,77.0,72.0,0.0,40.0,26.0,374.0,18.0,193.0,181.0,1.0,0.0,0.0,29.0,16.0,181.0,1.0,633.3,69.0,112.0,22.0,2.0,2.0,3.0,7.0,56.0,17.0,201.5
6.0,1.0,14.0,29.0,163.0,9.0,220.0,67.0,96.0,0.0,7.0,2.0,13.0,7.0,1.0,1.0,2.0,24.0,75.0,1.0,32.0,43.0,1.0,27.0,14.0,163.0,9.0,67.0,96.0,1.0,0.0,0.0,32.0,23.0,236.0,0.0,720.1,87.0,149.0,8.0,5.0,1.0,3.0,9.0,55.0,8.0,189.6
7.0,0.0,15.0,32.0,255.0,10.0,186.0,104.0,151.0,3.0,4.0,2.0,13.0,3.0,0.0,6.0,48.0,44.0,216.0,11.0,112.0,104.0,1.0,28.0,15.0,255.0,10.0,104.0,151.0,1.0,3.0,3.0,49.0,27.0,345.0,1.0,575.3000000000001,145.0,200.0,10.0,1.0,6.0,2.0,9.0,43.0,4.0,283.70000000000005
8.0,1.0,22.0,34.0,279.0,13.0,223.0,139.0,140.0,3.0,4.0,2.0,16.0,5.0,3.0,4.0,32.0,34.0,111.0,4.0,6.0,105.0,2.0,33.0,22.0,279.0,13.0,139.0,140.0,0.0,3.0,3.0,33.0,24.0,280.0,2.0,752.5,157.0,123.0,14.0,4.0,4.0,8.0,17.0,44.0,3.0,272.70000000000005
9.0,1.0,27.0,47.0,309.0,15.0,381.0,166.0,143.0,3.0,8.0,3.0,16.0,6.0,2.0,4.0,34.0,15.0,74.0,6.0,35.0,39.0,1.0,44.0,27.0,309.0,15.0,166.0,143.0,1.0,3.0,0.0,28.0,22.0,201.0,2.0,819.4,110.0,91.0,11.0,2.0,6.0,1.0,9.0,50.0,10.0,181.1
