Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
9.0,0.0,21.0,39.0,229.0,8.0,329.0,100.0,129.0,2.0,7.0,4.0,7.0,7.0,2.0,0.0,0.0,21.0,80.0,5.0,38.0,42.0,1.0,38.0,21.0,229.0,8.0,100.0,129.0,2.0,2.0,0.0,22.0,14.0,137.0,0.0,504.50000000000006,57.0,80.0,13.0,4.0,3.0,4.0,11.0,50.0,6.0,188.1
1.0,1.0,28.0,41.0,175.0,12.0,223.0,71.0,104.0,1.0,5.0,4.0,15.0,3.0,4.0,0.0,0.0,21.0,68.0,3.0,13.0,55.0,9.0,41.0,28.0,175.0,12.0,71.0,104.0,2.0,1.0,2.0,36.0,25.0,263.0,1.0,883.1,159.0,104.0,19.0,4.0,8.0,1.0,13.0,57.0,5.0,294.5
10.0,1.0,19.0,30.0,230.0,10.0,255.0,105.0,125.0,0.0,4.0,2.0,14.0,2.0,6.0,1.0,24.0,29.0,76.0,5.0,35.0,41.0,0.0,27.0,19.0,230.0,10.0,105.0,125.0,0.0,0.0,0.0,38.0,26.0,302.0,4.0,742.5000000000001,129.0,173.0,22.0,2.0,3.0,6.0,12.0,45.0,7.0,245.8
11.0,0.0,19.0,31.0,293.0,15.0,318.0,199.0,94.0,1.0,5.0,2.0,10.0,9.0,2.0,0.0,0.0,33.0,115.0,6.0,27.0,88.0,0.0,28.0,19.0,293.0,15.0,199.0,94.0,0.0,1.0,1.0,41.0,22.0,273.0,2.0,956.8000000000001,183.0,90.0,22.0,5.0,3.0,6.0,14.0,45.0,8.0,303.6
12.0,1.0,20.0,29.0,315.0,15.0,215.0,120.0,195.0,1.0,4.0,1.0,8.0,6.0,0.0,2.0,13.0,30.0,88.0,5.0,46.0,42.0,1.0,26.0,20.0,315.0,15.0,120.0,195.0,1.0,1.0,1.0,33.0,19.0,154.0,0.0,499.20000000000005,57.0,97.0,17.0,5.0,3.0,1.0,10.0,50.0,11.0,221.2
13.0,0.0,28.0,48.0,239.0,13.0,353.0,149.0,90.0,7.0,8.0,4.0,12.0,6.0,4.0,2.0,9.0,17.0,62.0,2.0,25.0,37.0,3.0,45.0,28.0,239.0,13.0,149.0,90.0,1.0,7.0,0.0,39.0,26.0,288.0,2.0,808.9000000000001,124.0,164.0,11.0,2.0,1.0,1.0,4.0,44.0,6.0,253.89999999999998
14.0,1.0,20.0,36.0,270.0,15.0,391.0,132.0,138.0,3.0,7.0,1.0,17.0,6.0,2.0,0.0,0.0,32.0,112.0,4.0,61.0,51.0,2.0,35.0,20.0,270.0,15.0,132.0,138.0,2.0,3.0,1.0,37.0,23.0,275.0,0.0,690.7,191.0,84.0,30.0,4.0,8.0,2.0,14.0,56.0,7.0,330.0
15.0,1.0,15.0,24.0,212.0,11.0,267.0,153.0,59.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,28.0,34.0,218.0,10.0,139.0,79.0,1.0,22.0,15.0,212.0,11.0,153.0,59.0,1.0,1.0,1.0,30.0,19.0,218.0,2.0,634.0,109.0,109.0,42.0,7.0,5.0,1.0,13.0,39.0,4.0,240.59999999999997
16.0,1.0,16.0,26.0,183.0,7.0,217.0,79.0,104.0,3.0,3.0,2.0,13.0,3.0,5.0,1.0,4.0,32.0,85.0,5.0,19.0,66.0,0.0,25.0,16.0,183.0,7.0,79.0,104.0,1.0,3.0,2.0,36.0,25.0,213.0,1.0,810.8,122.0,91.0,62.0,1.0,3.0,4.0,8.0,66.0,8.0,280.6
17.0,0.0,23.0,36.0,199.0,10.0,238.0,113.0,86.0,2.0,5.0,2.0,9.0,3.0,0.0,0.0,0.0,27.0,86.0,7.0,23.0,63.0,3.0,33.0,23.0,199.0,10.0,113.0,86.0,3.0,2.0,2.0,38.0,21.0,237.0,0.0,680.1,118.0,119.0,42.0,0.0,1.0,1.0,2.0,45.0,11.0,310.1
2.0,1.0,23.0,31.0,201.0,6.0,165.0,70.0,131.0,1.0,5.0,4.0,11.0,4.0,3.0,0.0,0.0,24.0,93.0,4.0,62.0,31.0,2.0,30.0,23.0,201.0,6.0,70.0,131.0,6.0,1.0,1.0,32.0,19.0,325.0,1.0,662.1,158.0,167.0,25.0,7.0,2.0,3.0,13.0,45.0,7.0,324.2
3.0,0.0,12.0,22.0,98.0,4.0,145.0,36.0,62.0,0.0,6.0,5.0,7.0,5.0,0.0,0.0,0.0,20.0,36.0,0.0,6.0,30.0,0.0,22.0,12.0,98.0,4.0,36.0,62.0,2.0,0.0,1.0,51.0,36.0,352.0,3.0,1134.6000000000001,231.0,121.0,18.0,3.0,0.0,1.0,4.0,56.0,5.0,392.4
5.0,0.0,15.0,26.0,120.0,5.0,128.0,38.0,82.0,3.0,2.0,9.0,19.0,4.0,7.0,0.0,0.0,19.0,67.0,3.0,46.0,21.0,0.0,25.0,15.0,120.0,5.0,38.0,82.0,2.0,3.0,0.0,27.0,17.0,178.0,1.0,705.6,103.0,75.0,26.0,1.0,3.0,1.0,5.0,50.0,3.0,190.10000000000002
6.0,1.0,23.0,32.0,338.0,13.0,265.0,150.0,188.0,1.0,5.0,2.0,11.0,5.0,0.0,1.0,3.0,20.0,56.0,4.0,24.0,32.0,0.0,30.0,23.0,338.0,13.0,150.0,188.0,1.0,1.0,0.0,42.0,29.0,287.0,0.0,750.2,182.0,105.0,29.0,2.0,7.0,1.0,10.0,66.0,4.0,350.19999999999993
7.0,1.0,11.0,32.0,86.0,4.0,398.0,67.0,19.0,2.0,15.0,1.0,16.0,7.0,1.0,0.0,0.0,20.0,81.0,4.0,36.0,45.0,1.0,31.0,11.0,86.0,4.0,67.0,19.0,1.0,2.0,1.0,41.0,30.0,244.0,1.0,805.5000000000001,125.0,119.0,31.0,3.0,3.0,0.0,6.0,55.0,0.0,222.7
8.0,0.0,21.0,30.0,218.0,11.0,233.0,113.0,105.0,1.0,4.0,8.0,13.0,4.0,4.0,0.0,0.0,14.0,46.0,2.0,9.0,37.0,0.0,29.0,21.0,218.0,11.0,117.0,101.0,0.0,1.0,0.0,38.0,26.0,316.0,4.0,1105.5,166.0,150.0,20.0,7.0,3.0,2.0,13.0,51.0,6.0,257.1
9.0,0.0,27.0,39.0,260.0,13.0,269.0,142.0,118.0,2.0,5.0,3.0,11.0,3.0,6.0,0.0,0.0,21.0,83.0,3.0,51.0,32.0,0.0,36.0,27.0,260.0,13.0,142.0,118.0,0.0,2.0,0.0,36.0,24.0,288.0,3.0,707.3,182.0,106.0,35.0,3.0,2.0,4.0,9.0,41.0,3.0,344.0
