Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2019,7,0,23,38,291,13.0,376,133,158,1,11,0,14,0,3,0,0.0,36,90,9.0,48,42,5,38,23,291,13.0,133,158,1,1,1,33,22,224.0,1.0,179.0,45.0,24,5,6,5.0,16,51,2,272.1
2019,8,1,17,31,372,13.0,327,170,202,2,8,0,8,1,3,0,0.0,26,98,6.0,74,24,5,30,17,372,13.0,170,202,3,2,0,46,30,332.0,0.0,216.0,116.0,29,4,0,5.0,11,63,7,445.0
2019,10,0,22,42,243,10.0,298,153,90,3,5,4,13,6,4,0,0.0,23,88,3.0,58,30,0,42,22,243,10.0,153,90,3,3,0,36,22,242.0,1.0,137.0,105.0,21,9,6,3.0,18,64,5,247.89999999999998
2019,11,1,11,18,173,6.0,158,71,102,1,3,0,3,0,1,1,5.0,34,110,7.0,95,15,0,16,11,173,6.0,71,102,0,1,1,45,24,204.0,1.0,108.0,96.0,14,8,1,3.0,12,52,1,329.1
2019,12,1,26,37,212,8.0,312,112,100,1,8,2,23,1,5,0,0.0,9,22,2.0,9,13,0,36,26,212,8.0,112,100,0,1,0,20,14,157.0,5.0,125.0,32.0,20,3,4,3.0,11,75,6,173.5
2019,13,0,33,45,427,20.0,226,159,268,2,5,1,14,1,2,0,0.0,30,132,6.0,111,21,2,41,33,427,20.0,159,268,2,2,1,32,19,163.0,0.0,64.0,99.0,28,5,0,6.0,12,51,2,165.1
2019,14,1,22,32,293,16.0,305,173,120,1,7,0,9,3,4,1,5.0,35,162,10.0,96,66,4,30,22,293,16.0,173,120,1,1,1,32,19,237.0,0.0,200.0,37.0,35,8,5,5.0,19,49,2,402.1
2019,15,0,34,52,289,17.0,309,120,169,4,8,2,14,2,4,0,0.0,14,22,3.0,2,20,4,51,34,289,17.0,120,169,2,4,0,21,14,193.0,1.0,48.0,145.0,22,2,1,0.0,3,64,14,122.2
2019,16,0,27,46,323,17.0,289,168,155,0,8,0,14,10,2,4,12.0,24,72,6.0,29,43,2,39,27,323,17.0,168,155,2,0,2,27,16,248.0,1.0,130.0,118.0,21,2,1,6.0,10,42,4,207.1
2019,17,1,29,45,319,17.0,352,196,123,0,9,1,23,1,0,1,5.0,33,113,4.0,66,47,0,44,29,319,17.0,196,123,3,0,2,37,26,324.0,2.0,175.0,149.0,21,5,0,1.0,6,40,3,370.7
