Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
9.0,0.0,24.0,43.0,259.0,14.0,397.0,157.0,102.0,1.0,8.0,1.0,10.0,5.0,4.0,3.0,9.899999999999999,25.0,117.0,6.0,69.0,48.0,1.0,39.0,24.0,259.0,14.0,157.0,102.0,0.0,1.0,0.0,38.0,24.0,337.0,1.0,1157.3,138.0,199.0,15.0,1.0,1.0,2.0,4.0,56.0,4.0,317.1
1.0,0.0,18.0,30.0,203.0,10.0,300.0,116.0,87.0,0.0,5.0,5.0,8.0,6.0,2.0,1.0,10.0,22.0,47.0,1.0,27.0,20.0,1.0,27.0,18.0,203.0,10.0,116.0,87.0,2.0,0.0,1.0,46.0,26.0,228.0,0.0,529.1999999999999,130.0,98.0,24.0,6.0,5.0,5.0,17.0,54.0,5.0,395.59999999999997
10.0,1.0,17.0,29.0,233.0,9.0,338.0,120.0,113.0,0.0,6.0,2.0,10.0,3.0,1.0,1.0,7.0,27.0,163.0,10.0,101.0,62.0,8.0,27.0,17.0,233.0,9.0,120.0,113.0,0.0,0.0,1.0,38.0,29.0,283.0,1.0,748.5999999999999,194.0,89.0,13.0,5.0,6.0,3.0,14.0,56.0,5.0,340.20000000000005
12.0,0.0,23.0,37.0,119.0,8.0,240.0,-4.0,123.0,3.0,8.0,5.0,13.0,1.0,3.0,3.0,12.899999999999999,28.0,117.0,5.0,93.0,24.0,2.0,36.0,23.0,119.0,8.0,-4.0,123.0,2.0,3.0,0.0,17.0,13.0,251.0,2.0,697.8000000000001,117.0,134.0,8.0,0.0,2.0,3.0,6.0,35.0,4.0,127.1
13.0,0.0,21.0,33.0,243.0,13.0,272.0,158.0,85.0,2.0,9.0,0.0,14.0,2.0,2.0,3.0,24.0,26.0,79.0,2.0,34.0,45.0,2.0,33.0,21.0,243.0,13.0,158.0,85.0,3.0,2.0,3.0,36.0,20.0,240.0,1.0,823.6,136.0,104.0,15.0,1.0,6.0,0.0,7.0,45.0,6.0,275.29999999999995
14.0,1.0,18.0,28.0,195.0,9.0,219.0,109.0,86.0,2.0,5.0,4.0,11.0,4.0,4.0,2.0,19.0,28.0,174.0,9.0,92.0,82.0,2.0,27.0,18.0,195.0,9.0,109.0,86.0,1.0,2.0,1.0,27.0,16.0,170.0,1.0,828.1000000000001,84.0,86.0,10.0,4.0,3.0,4.0,12.0,41.0,6.0,283.4
15.0,1.0,16.0,33.0,203.0,7.0,293.0,92.0,111.0,6.0,5.0,1.0,7.0,3.0,3.0,2.0,24.0,24.0,100.0,5.0,58.0,42.0,4.0,30.0,16.0,203.0,7.0,92.0,111.0,3.0,6.0,1.0,52.0,29.0,334.0,1.0,643.1000000000001,231.0,103.0,12.0,2.0,2.0,3.0,7.0,62.0,7.0,515.8
16.0,0.0,26.0,40.0,216.0,14.0,266.0,71.0,145.0,1.0,7.0,3.0,7.0,1.0,2.0,0.0,0.0,32.0,184.0,8.0,71.0,113.0,0.0,38.0,26.0,216.0,14.0,71.0,145.0,0.0,1.0,1.0,30.0,16.0,122.0,1.0,743.4000000000001,73.0,49.0,5.0,3.0,1.0,5.0,10.0,45.0,2.0,249.2
17.0,0.0,27.0,55.0,323.0,18.0,770.0,188.0,135.0,2.0,19.0,1.0,13.0,1.0,5.0,1.0,2.0,30.0,120.0,6.0,41.0,79.0,7.0,54.0,27.0,323.0,18.0,188.0,135.0,1.0,2.0,1.0,28.0,12.0,122.0,0.0,520.1,84.0,38.0,21.0,2.0,2.0,1.0,5.0,32.0,4.0,247.4
19.0,1.0,16.0,27.0,243.0,12.0,223.0,149.0,94.0,2.0,2.0,2.0,12.0,2.0,3.0,1.0,14.0,30.0,109.0,7.0,53.0,56.0,4.0,22.0,16.0,243.0,12.0,149.0,94.0,1.0,2.0,0.0,25.0,18.0,244.0,1.0,731.3,184.0,60.0,17.0,2.0,5.0,5.0,12.0,47.0,6.0,316.29999999999995
2.0,1.0,22.0,34.0,209.0,12.0,259.0,103.0,106.0,0.0,5.0,2.0,12.0,4.0,7.0,0.0,0.0,33.0,144.0,7.0,115.0,29.0,1.0,31.0,22.0,209.0,12.0,103.0,106.0,0.0,0.0,2.0,28.0,14.0,226.0,1.0,626.2,115.0,111.0,13.0,8.0,4.0,1.0,13.0,47.0,10.0,308.0
20.0,0.0,31.0,39.0,326.0,16.0,332.0,146.0,180.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,16.0,62.0,4.0,28.0,34.0,1.0,37.0,31.0,326.0,16.0,146.0,180.0,2.0,0.0,0.0,7.0,5.0,67.0,0.0,460.40000000000003,19.0,48.0,6.0,1.0,0.0,1.0,2.0,43.0,13.0,30.9
3.0,1.0,17.0,29.0,235.0,8.0,258.0,158.0,77.0,2.0,6.0,0.0,10.0,6.0,1.0,0.0,0.0,23.0,77.0,7.0,40.0,37.0,1.0,27.0,17.0,235.0,8.0,158.0,77.0,0.0,2.0,1.0,28.0,21.0,219.0,0.0,512.1,90.0,129.0,6.0,1.0,1.0,6.0,8.0,69.0,16.0,127.69999999999999
4.0,1.0,34.0,53.0,422.0,19.0,374.0,211.0,211.0,0.0,8.0,1.0,8.0,7.0,1.0,5.0,46.0,20.0,77.0,4.0,35.0,42.0,2.0,49.0,34.0,422.0,19.0,211.0,211.0,5.0,0.0,0.0,26.0,15.0,152.0,3.0,734.8000000000001,83.0,69.0,29.0,3.0,2.0,0.0,5.0,49.0,3.0,189.4
5.0,0.0,22.0,34.0,238.0,9.0,247.0,81.0,157.0,1.0,5.0,2.0,9.0,6.0,3.0,1.0,3.0,29.0,120.0,11.0,76.0,44.0,3.0,31.0,22.0,238.0,9.0,81.0,157.0,3.0,1.0,3.0,42.0,28.0,463.0,2.0,973.1000000000001,292.0,171.0,5.0,2.0,5.0,3.0,10.0,46.0,8.0,453.0
6.0,1.0,24.0,39.0,283.0,13.0,376.0,194.0,89.0,3.0,8.0,1.0,4.0,3.0,2.0,1.0,12.0,29.0,170.0,4.0,145.0,25.0,0.0,38.0,24.0,283.0,13.0,194.0,89.0,2.0,3.0,0.0,32.0,18.0,265.0,0.0,623.9,153.0,112.0,18.0,2.0,0.0,3.0,6.0,41.0,2.0,327.6
7.0,1.0,25.0,31.0,429.0,15.0,268.0,206.0,223.0,1.0,3.0,1.0,10.0,4.0,2.0,2.0,6.0,23.0,60.0,5.0,29.0,31.0,1.0,29.0,25.0,429.0,15.0,206.0,223.0,1.0,1.0,1.0,30.0,24.0,329.0,3.0,963.9,204.0,125.0,15.0,2.0,0.0,0.0,2.0,59.0,7.0,292.3
8.0,0.0,23.0,33.0,305.0,15.0,236.0,119.0,186.0,0.0,7.0,5.0,17.0,0.0,7.0,3.0,32.099999999999994,26.0,118.0,5.0,52.0,66.0,4.0,31.0,23.0,305.0,15.0,119.0,186.0,1.0,0.0,0.0,34.0,24.0,267.0,2.0,915.2,100.0,167.0,9.0,3.0,5.0,2.0,10.0,46.0,12.0,206.89999999999998
9.0,0.0,23.0,35.0,161.0,11.0,299.0,72.0,89.0,1.0,9.0,3.0,1.0,6.0,1.0,1.0,5.0,11.0,45.0,1.0,18.0,27.0,1.0,34.0,23.0,161.0,11.0,72.0,89.0,4.0,1.0,0.0,35.0,27.0,355.0,0.0,1072.8,194.0,161.0,4.0,2.0,2.0,2.0,7.0,68.0,7.0,295.8
