Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2019,10,1,13,19,181,7.0,251,130,51,0,3,4,6,2,3,2,30.0,26,225,9.0,85,140,3,19,13,181,7.0,130,51,1,0,0,50,36,446.0,3.0,198.0,248.0,34,7,2,2.0,11,81,12,428.0
2019,12,1,14,18,259,11.0,137,74,185,0,1,1,8,2,1,1,21.0,33,219,8.0,83,136,1,17,14,259,11.0,74,185,1,0,0,42,30,240.0,0.0,135.0,105.0,39,3,1,3.0,7,66,5,318.5
2019,13,0,17,22,182,7.0,167,108,74,2,1,6,8,4,0,1,8.0,30,154,7.0,58,96,4,21,17,182,7.0,108,74,1,2,2,39,26,326.0,1.0,175.0,151.0,13,10,6,3.0,19,66,9,317.8
2019,14,0,21,27,391,15.0,294,195,196,0,3,0,7,0,3,2,17.0,32,161,10.0,55,106,3,27,21,391,15.0,195,196,2,0,0,30,25,267.0,2.0,150.0,117.0,23,6,1,2.0,9,66,14,243.8
2019,15,1,22,37,279,15.0,383,163,116,1,8,2,18,1,4,1,10.0,28,163,7.0,56,107,1,36,22,279,15.0,163,116,2,1,2,26,20,250.0,2.0,154.0,96.0,2,0,0,1.0,1,49,5,242.0
2019,16,1,17,27,272,11.0,241,140,132,4,1,5,10,4,1,1,8.0,26,149,4.0,59,90,3,25,17,272,11.0,140,132,1,4,0,39,27,299.0,3.0,148.0,151.0,15,2,0,3.0,5,46,2,278.90000000000003
2019,17,0,14,21,222,11.0,284,141,81,0,5,0,7,1,2,2,22.0,39,245,13.0,183,62,5,21,14,222,11.0,141,81,0,0,1,32,21,225.0,0.0,95.0,130.0,24,9,2,4.0,15,53,6,277.6
2019,18,0,9,16,76,5.0,134,30,46,0,3,1,6,1,4,1,5.0,40,201,13.0,70,131,7,15,9,76,5.0,30,46,0,0,1,37,19,201.0,0.0,77.0,124.0,4,1,4,0.0,5,42,4,412.1
2019,19,0,8,15,91,5.0,180,59,32,0,3,1,13,0,3,1,3.0,37,217,9.0,71,146,5,15,8,91,5.0,59,32,1,0,2,53,30,356.0,1.0,267.0,89.0,25,2,3,4.0,9,68,6,642.1
2019,20,0,22,32,237,13.0,269,126,111,0,4,3,12,2,0,2,12.0,23,85,4.0,45,40,1,32,22,237,13.0,126,111,8,0,0,30,21,278.0,2.0,191.0,87.0,9,8,4,2.0,15,51,5,249.60000000000002
