Year,Week,Home,Games Played,avg.Cmp,avg.Att,avg.Yds,avg.1D,avg.IAY,avg.CAY,avg.YAC,avg.Drops,avg.BadTh,avg.Sk,avg.Bltz,avg.Hrry,avg.Hits,avg.Scrm,avg.ScrambleYds,avg.Att.1,avg.Yds.1,avg.1D.1,avg.YBC,avg.YAC.1,avg.BrkTkl,avg.Tgt,avg.Rec,avg.Yds.2,avg.1D.2,avg.YBC.1,avg.YAC.2,avg.BrkTkl.1,avg.Drop,avg.Int,avg.Tgt.1,avg.Cmp.1,avg.Yds.3,avg.TD,avg.Air,avg.YAC.3,avg.Bltz.1,avg.Hrry.1,avg.QBKD,avg.Sk.1,avg.Prss,avg.Comb,avg.MTkl,avg.total.DADOT
2018.0,1.0,1.0,1.0,26.0,38.0,260.0,12.0,256.0,156.0,104.0,2.0,4.0,2.0,4.0,10.0,1.0,1.0,2.0,34.0,117.0,11.0,39.0,78.0,6.0,37.0,26.0,260.0,13.0,156.0,104.0,1.0,2.0,2.0,37.0,11.0,98.0,0.0,65.0,33.0,37.0,12.0,3.0,6.0,21.0,47.0,6.0,419.2
2018.0,2.0,0.0,2.0,29.0,46.5,318.0,16.0,382.5,192.5,125.5,2.5,6.0,3.0,11.0,8.5,3.5,1.0,2.0,28.0,91.5,8.0,37.5,54.0,3.0,45.0,29.0,318.0,16.5,192.5,125.5,2.5,2.5,1.0,38.5,17.0,177.5,2.0,95.0,82.5,32.5,7.5,3.5,3.0,14.0,50.0,6.0,346.25
2018.0,3.0,1.0,3.0,27.666666666666668,44.333333333333336,304.3333333333333,15.0,376.6666666666667,188.33333333333334,116.0,2.6666666666666665,6.0,2.6666666666666665,12.333333333333334,6.666666666666667,2.6666666666666665,0.6666666666666666,1.3333333333333333,28.0,86.66666666666667,7.0,39.666666666666664,47.0,2.6666666666666665,42.666666666666664,27.666666666666668,304.3333333333333,15.333333333333334,188.33333333333334,116.0,1.6666666666666667,2.6666666666666665,1.0,37.666666666666664,19.333333333333332,188.33333333333334,1.3333333333333333,107.66666666666667,80.66666666666667,30.0,7.0,3.0,3.0,13.333333333333334,51.333333333333336,7.333333333333333,296.23333333333335
2018.0,4.0,0.0,4.0,27.75,43.75,319.0,15.5,379.25,193.25,125.75,2.5,7.0,2.5,11.75,5.25,2.0,0.5,1.0,28.5,89.0,6.75,42.5,46.5,2.0,42.0,27.75,319.0,15.75,193.25,125.75,2.0,2.5,1.0,39.5,21.25,211.75,1.25,118.25,93.5,29.75,5.5,2.5,2.5,10.75,49.5,7.25,311.75
2018.0,5.0,0.0,5.0,28.0,46.4,314.8,15.0,395.2,179.0,135.8,2.8,8.2,2.4,11.8,6.8,2.6,0.6,3.0,27.8,94.4,7.2,42.4,52.0,2.2,45.0,28.0,314.8,15.4,179.0,135.8,3.0,2.8,1.0,41.4,23.0,243.2,1.2,135.4,107.8,34.4,7.0,2.6,3.0,13.0,52.6,8.6,347.26
2018.0,6.0,0.0,6.0,27.5,44.833333333333336,302.0,14.666666666666666,386.5,176.66666666666666,125.33333333333333,2.5,7.666666666666667,2.0,11.666666666666666,6.333333333333333,2.3333333333333335,0.6666666666666666,2.8333333333333335,29.0,99.16666666666667,7.5,43.0,56.166666666666664,2.1666666666666665,43.666666666666664,27.5,302.0,15.0,176.66666666666666,125.33333333333333,2.5,2.5,0.8333333333333334,37.333333333333336,21.333333333333332,225.66666666666666,1.0,126.83333333333333,98.83333333333333,32.166666666666664,7.5,2.1666666666666665,4.333333333333333,14.333333333333334,50.166666666666664,7.5,318.9
2018.0,7.0,1.0,7.0,27.0,44.142857142857146,299.42857142857144,14.571428571428571,379.42857142857144,176.14285714285714,123.28571428571429,2.4285714285714284,7.285714285714286,1.8571428571428572,11.142857142857142,6.285714285714286,2.142857142857143,0.5714285714285714,2.4285714285714284,28.142857142857142,96.0,7.285714285714286,43.142857142857146,52.857142857142854,1.8571428571428572,42.714285714285715,27.0,299.42857142857144,15.0,176.14285714285714,123.28571428571429,2.142857142857143,2.4285714285714284,0.7142857142857143,36.0,21.285714285714285,223.71428571428572,1.1428571428571428,129.57142857142858,94.14285714285714,31.714285714285715,6.714285714285714,2.142857142857143,3.857142857142857,13.0,51.285714285714285,7.571428571428571,299.7285714285714
2018.0,8.0,0.0,8.0,26.875,44.125,291.75,14.125,384.375,171.5,120.25,2.5,7.75,1.875,11.875,5.875,2.375,0.75,4.5,26.875,96.625,7.375,44.625,52.0,1.75,42.875,26.875,291.75,14.5,171.5,120.25,1.875,2.5,0.625,34.875,19.875,225.375,1.25,134.125,91.25,29.375,6.375,2.25,3.375,12.25,52.5,7.5,287.72499999999997
2018.0,9.0,1.0,9.0,26.555555555555557,43.44444444444444,283.55555555555554,13.666666666666666,373.77777777777777,168.11111111111111,115.44444444444444,2.4444444444444446,7.444444444444445,1.8888888888888888,13.0,5.666666666666667,2.4444444444444446,0.6666666666666666,4.0,25.666666666666668,92.66666666666667,7.111111111111111,44.22222222222222,48.44444444444444,1.6666666666666667,42.22222222222222,26.555555555555557,283.55555555555554,14.0,168.11111111111111,115.44444444444444,2.111111111111111,2.4444444444444446,0.5555555555555556,36.22222222222222,20.88888888888889,232.77777777777777,1.3333333333333333,135.22222222222223,97.55555555555556,30.333333333333332,6.333333333333333,2.5555555555555554,3.111111111111111,12.222222222222221,53.333333333333336,7.444444444444445,288.3222222222222
2018.0,10.0,1.0,9.0,26.555555555555557,43.44444444444444,283.55555555555554,13.666666666666666,373.77777777777777,168.11111111111111,115.44444444444444,2.4444444444444446,7.444444444444445,1.8888888888888888,13.0,5.666666666666667,2.4444444444444446,0.6666666666666666,4.0,25.666666666666668,92.66666666666667,7.111111111111111,44.22222222222222,48.44444444444444,1.6666666666666667,42.22222222222222,26.555555555555557,283.55555555555554,14.0,168.11111111111111,115.44444444444444,2.111111111111111,2.4444444444444446,0.5555555555555556,36.22222222222222,20.88888888888889,232.77777777777777,1.3333333333333333,135.22222222222223,97.55555555555556,30.333333333333332,6.333333333333333,2.5555555555555554,3.111111111111111,12.222222222222221,53.333333333333336,7.444444444444445,288.3222222222222
